sku,brands,model_no,laptop_processor,laptop_ram,storage_capacity,webcam,screen_size,laptop_operating_system,warrenty,laptop_warranty_summary,laptop_remark
QCNBBG00002,Lenovo,THINKPAD T420,Intel Core i5 2nd Gen,4 GB,320 GB,Yes,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00158,Lenovo,THINKPAD T420,Intel Core i7 2nd Gen,4 GB,320 GB,Yes,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00187,Lenovo,THINKPAD T420,Intel Core i7 2nd Gen,4 GB,320 GB,Yes,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00283,Lenovo,THINKPAD T420,Intel Core i7 2nd Gen,4 GB,320 GB,Yes,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00195,Lenovo,THINKPAD T420,Intel Core i7 2nd Gen,4 GB,500 GB,Yes,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00176,Lenovo,THINKPAD T430,Intel Core i5 3rd Gen,4 GB,320 GB,No,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00265,Lenovo,THINKPAD T430,Intel Core i5 3rd Gen,4 GB,320 GB,No,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00003,Lenovo,THINKPAD T430,Intel Core i5 3rd Gen,4 GB,320 GB,No,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00004,Lenovo,THINKPAD T430,Intel Core i5 3rd Gen,4 GB,320 GB,Yes,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00186,Lenovo,THINKPAD T430,Intel Core i5 3rd Gen,8 GB,320 GB,No,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00264,Lenovo,THINKPAD T430,Intel Core i5 3rd Gen,8 GB,320 GB,Yes,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00263,Lenovo,THINKPAD T430,Intel Core i5 3rd Gen,8 GB,320 GB,Yes,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00031,Lenovo,THINKPAD T430,Intel Core i5 3rd Gen,8 GB,320 GB,Yes,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBB002316,Lenovo,THINKPAD T430,Intel Core i5 3rd Gen,8 GB,500 GB,Yes,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00289,Lenovo,THINKPAD T430,Intel Core i7 3rd Gen,8 GB,320 GB,Yes,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00207,Lenovo,THINKPAD T440p,Intel Core i5 4th Gen,4 GB,500 GB,Yes,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00196,Lenovo,THINKPAD T450,Intel Core i5 5th Gen,8 GB,250 GB,Yes,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00266,Lenovo,THINKPAD T450,Intel Core i5 5th Gen,8 GB,250 GB,Yes,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00290,Lenovo,THINKPAD T450,Intel Core i5 5th Gen,8 GB,256 GB ,Yes,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00267,Lenovo,THINKPAD T520,Intel Core i5 2nd Gen,4 GB,320 GB,Yes,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00208,Lenovo,THINKPAD W530,Intel Core i7 3rd Gen,8 GB,500 GB,Yes,39.6 cm (15.6 Inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBB002317,Lenovo,THINKPAD X201,Intel Core i5,2 GB,160 GB,Yes,30.7 cm(12.1 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00058,Lenovo,THINKPAD X220,Intel Core i5 2nd Gen,4 GB,320 GB,Yes,31.7 cm(12.5 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00292,Lenovo,THINKPAD X230,Intel Core i5 3rd Gen,4 GB,320 GB,Yes,31.7 cm(12.5 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00291,Lenovo,THINKPAD X230,Intel Core i5 3rd Gen,8 GB,500 GB,Yes,31.7 cm(12.5 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00300,Lenovo,THINKPAD X240,Intel Core i5 4th Gen,4 GB,250 GB,Yes,31.7 cm(12.5 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00301,Lenovo,THINKPAD X240,Intel Core i5 4th Gen,8 GB,320 GB,Yes,31.7 cm(12.5 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00293,Lenovo,THINKPAD X240,Intel Core i5 4th Gen,8 GB,500 GB,No,31.7 cm(12.5 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00059,Lenovo,THINKPAD X240,Intel Core i5 4th Gen,8 GB,500 GB,Yes,31.7 cm(12.5 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
